,document,summary,generated_summary
0,"Jakarta, CNN Indonesia - - Dilansir AFP, seorang warga Mesir yang dipercaya sebagai wanita terberat di dunia masuk sebuah rumah sakit di Abu Dhabi Kamis (5 / 5), dimana ia akan melanjutkan perawatan setelah menjalankan operasi menurunkan badan di India. Eman Ahmed Abd El Aty memiliki berat badan mencapai 500 kilogram sebelum menjalankan operasi di Mumbai Maret lalu dimana ia mengurangi seperlima dari berat badannya. Ia menderita berbagai macam masalah kesehatan termasuk penyakit gajah, kondisi yang menyebabkan anggota badan membengkak. Abd El Aty diberi diet cairan khusus selama berada di India yang bertujuan menurunkan berat badan. Diet ini memungkinkan dokter melakukan operasi bariatrik, prosedur bypass yang kini sering dilakukan di India dalam menghadapi masalah obesitas yang bertambah banyak. Ia tiba di India dengan menggunakan pesawat Airbus yang secara khusus telah dimodifikasi khusus untuk mengangkutnya pada bulan Februari. Kini, berat badannya telah turun drastis sebanyak 323 kilogram dalam tiga bulan. Sekarang berat badannya tinggal 176,6 kilogram. Rencananya, diterangkan oleh dokternya di Mumbai, ia akan menjalani fisioterapi selama setahun penuh di rumah sakit VPS Burjeel, Abu Dhabi. “ Kami telah mengatur tandu hidrolik dari Italia untuk perjalanan Eman dan ia akan didampingi oleh dokter, paramedis dan suster dalam perjalanan pindah ini, ” terang Sanet Meyer, direktur medevac di VPS Burjeel, kepada AFP. Koran - koran di Uni Emirat Arab melaporkan jika saudara perempuan Abd El Aty, Shaima, tidak setuju dengan penanganan tim medis India. “ Saya minta bantuan setelah memperhatikan lambatnya cara kerja tim di India, ” ungkapnya. Abd El Aty tidak pernah meninggalkan rumahnya di Alexandria, kota pelabuhan Mediterania di Mesir selama dua puluh tahun, sebelum akhirnya berangkat ke India. Keluarganya memberitahu para dokter jika ia telah didiagnosa dengan penyakit kaki gajah sejak kecil sehingga itu yang menyebabkan ia tidak bisa aktif bergerak. Abd El Aty pernah terkena serangan jantung dan menghadapi berbagai penyakit serius sebagai akibat dari berat bedannya seperti diabetes, tekan darah tinggi, hipertensi dan kurang tidur. Ia juga tidak dapat berbicara dengan benar dan sebagian tubuhnya lumpuh. India dikenal sebagai tujuan turis medis yang mencari pelayanan berkualitas yang jauh lebih murah dibanding jasa yang sama di negara barat dan juga tidak harus menunggu lama. Juli tahun lalu, Guinness Book of World Records mencatat warga AS Pauline Potter sebagai wanita terberat dengan berat badan 293 kilogram, jauh di atas berat badan Abd El Aty yang sekarang.","Eman Ahmed Abd El Aty memiliki berat badan mencapai 500 kilogram sebelum menjalankan operasi di Mumbai Maret lalu dimana ia mengurangi seperlima dari berat badannya. Abd El Aty diberi diet cairan khusus selama berada di India yang bertujuan menurunkan berat badan. Kini, berat badannya telah turun drastis sebanyak 323 kilogram dalam tiga bulan. Sekarang berat badannya tinggal 176,6 kilogram."," seorang warga mesir yang dipercaya sebagai wanita terberat di dunia masuk sebuah rumah sakit di abu dhabi kamis (5 / 5), dimana ia akan melanjutkan perawatan setelah menjalankan operasi menurunkan badan di india. eman ahmed abd el aty memiliki berat badan mencapai 500 kilogram sebelum menjalankan operasi di mumbai maret lalu dimana ia mengurangi seperlima dari berat badannya. ia menderita berbagai macam masalah kesehatan termasuk penyakit gajah, kondisi yang menyebabkan"
1,"Menteri Pertahanan Ryamizard Ryacudu menyambut baik usulan pembelian drone dari China untuk dikembangkan di Indonesia. Pesawat tanpa awak itu rencananya digunakan untuk misi pertahanan, yaitu mengawasi daerah perbatasan. "" Kita atau orang China, orang manapun, beli pasti dia bedah itu, pelajari. Kita juga beli sedikit satu atau dua, kemudian kita pelajari untuk menambah kecanggihan itu. Semuanya begitu, "" ujar Ryamizard di Bogor, Kamis (27 / 7). Ia mengungkapkan penelitian dan riset untuk alutsista itu memang memakan anggaran yang cukup mahal. Namun, tindakan itu dilakukan untuk memodernkan alat utama sistem pertahanan Indonesia. Apalagi, kata Ryamizard, sumber daya manusia Indonesia sudah cukup mumpuni untuk mengembangkan drone. "" Memang untuk penelitian percobaan itu mahal. Kalau kita mau maju ya mahal. Tapi yang utama itu ini, jadi untuk perbatasan sudah cukup, kemudian di Manado dipasang bisa memantau kegiatan teror itu di situ juga, "" ungkapnya. Sebelumnya, Kepala Badan Sarana Pertahanan Kemhan, Laksamana Muda Leonardi, mengatakan drone yang bakal dibeli dari China akan menyesuaikan kebutuhan dari TNI AU yaitu Medium Altitude Long Endurance (MALE). Saat ini pengadaan drone tersebut masih terus berjalan setelah pihak pemerintah China memperbolehkan Indonesia memiliki drone dengan teknologi tersebut. Laporan reporter kumparan Ferio Pristiawan","Menteri Pertahanan Ryamizard Ryacudu menyambut baik usulan pembelian drone dari China untuk dikembangkan di Indonesia. Pesawat tanpa awak itu rencananya digunakan untuk misi pertahanan, yaitu mengawasi daerah perbatasan. "" Kita atau orang China, orang manapun, beli pasti dia bedah itu, pelajari. Kita juga beli sedikit satu atau dua, kemudian kita pelajari untuk menambah kecanggihan itu. Semuanya begitu, "" ujar Ryamizard di Bogor, Kamis (27 / 7)."," menteri pertahanan ryamizard ryacudu menyambut baik usulan pembelian drone dari china untuk dikembangkan di indonesia. pesawat tanpa awak itu rencananya digunakan untuk misi pertahanan, yaitu mengawasi daerah perbatasan. "" kita atau orang china, orang manapun, beli pasti dia bedah itu, pelajari. kita juga beli sedikit satu atau dua, kemudian kita pelajari untuk menambah kecanggihan itu. semuanya begitu, "" ujarnya. ia mengungkapkan"
2,"Jakarta, CNN Indonesia - - Meski sudah hampir 12 tahun berlalu, film Mean Girls merupakan salah satu film remaja sepanjang masa yang sulit untuk dilupakan. Tak heran kemudian, rumah produksi film yang dibintangi Lindsay Lohan, Rachel McAdams dan Amanda Seyfried ini kemudian memutuskan akan mengadaptasinya untuk dibuat dalam versi musikal. Konfirmasi akan kepastian adaptasi dari film yang naskah skenarionya ditulis Tina Fey dan disutradara Mark Waters ini diumumkan lewat akun resmi Twitter dan Facebook MeanGirlsDC. Dijadwalkan pementasan musikal dari adaptasi naskah   itu akan berlangsung September, tahun depan di Washington DC. Kabar adaptasi ke musikal ini, seperti dikutip dari NME,   muncul pada Senin (3 / 10), yang juga ditandai sebagai Mean Girls Day oleh para penggemarnya. Sebelumnya, keinginan untuk mengadaptasi Mean Girls ke musikal sudah muncul pada Maret lalu. Fey pada Metro mengatakan, "" Saya, suami saya, komposer Jeff Richmond, dan penulis lirik Nell Benjamin, akan bekerja sama untuk adaptasi musikal ini . "" Nell Benjamin sebelumnya juga pernah membuat musikal Legally Blonde. Kepastian nama tempat dan tanggal pementasan belum diinformasikan, akan tetapi pihak Mean Girls memastikan akan mengumumkannya lewat akun media sosial mereka dalam waktu dekat. Mean Girls Day Para penggemar film Mean Girls menetapkan 3 Oktober sebagai Mean Girls Day. Ini mengacu pada salah satu dialog yang disampaikan tokoh   utamanya   Cady Heron (yang diperankan Lindsay Lohan), ketika ditanyai laki-laki yang ia sukai Aaron Samuels (Jonathan Bennett) akan waktu, yang kemudian ia jawab, "" Ini 3 Oktober "". Kutipan tersebut menjadi salah satu adegan berkesan sepanjang film Mean Girls, yang kemudian dinobatkan para pencinta film sebagai Mean Girls Day. Lohan, pada Senin (3 / 10) juga turut merayakannya dengan membagi postingan cuplikan percakapannya, dan poster Mean Girls bertuliskan "" It's October 3rd #NationalMeanGirlsDay "". Ungkapan itu ia sertai hashtag #whatdayisit, meski di saat yang sama ia sedang dirawat di rumah sakit   karena insiden luka di bagian jari akibat jangkal kapal saat ia berliburan di Turki. (rsa)","Rumah produksi film yang dibintangi Lindsay Lohan, Rachel McAdams dan Amanda Seyfried ini kemudian memutuskan akan mengadaptasinya untuk dibuat dalam versi musikal. Meski sudah hampir 12 tahun berlalu, film Mean Girls   merupakan salah satu film remaja sepanjang masa yang sulit untuk dilupakan. Dijadwalkan pementasan musikal dari adaptasi naskah   itu akan berlangsung September, tahun depan di Washington DC."," meski sudah hampir 12 tahun berlalu, film mean girls merupakan salah satu film remaja sepanjang masa yang sulit untuk dilupakan. tak heran kemudian, rumah produksi film yang dibintangi lindsay lohan, rachel mcadams dan amanda seyfried ini kemudian memutuskan akan mengadaptasinya untuk dibuat dalam versi musikal. konfirmasi akan kepastian adaptasi dari film yang naskah skenarionya ditulis tina fey dan disutrad"
3,"Usai melaksanakan ibadah haji, Eggi Sudjana akhirnya mendatangi kantor Bareskrim Polri, Jakarta, Senin (18 / 9), untuk memberikan klarifikasi terkait pencatutan namanya di struktur organisasi Saracen. Eggi juga menyebutkan, ia sama sekali tidak mengenal atau terlibat dalam sindikat penyebar berita palsu tersebut. "" Saya nyatakan dengan jelas, pakai bahasa Islam lebih meyakinkan, dengan sumpah demi Allah masih haji nih, Insyaalah masih bersih, saya tidak tahu menahu tentang Saracen apalagi terlibat, "" ungkap Eggi yang mengaku heran saat mendapatkan panggilan dari kepolisian. Eggi menyebut tersangka Saracen, Jasriadi, bahkan sudah secara terbuka menyatakan bahwa nama Eggi dicomot secara asal dan masih dalam tahap wacana saja. Sehingga, menurut Eggi, secara ilmu hukum tuduhan terhadap dirinya akan secara otomatis gugur. "" Nanti kan poin ini itu harusnya clear buat saya. Tidak ada tuduhan apapun, gugur kepada saya, "" tambahnya. Terkait kasus tersebut, Eggi mengaku tidak akan datang jika kembali dipanggil menjadi saksi. Menurutnya, ia tidak bisa memenuhi panggilan sebagai saksi karena tidak memiliki hubungan dengan Saracen. "" Tapi kalau diundang untuk klarifikasi, baru saya mau datang. Tapi kalau panggilan sebagai saksi apalagi tersangka tiba-tiba ya, itu tidak benar. Tapi kalau panggilan diundang menjelaskan ya barulah saya pertimbangkan apa perlu apa enggak. Karena saya sendiri sudah datang ke sini, sudah berani klarifikasi sendiri kan, "" tambahnya. Sebelumnya, nama Eggi Sudjana disebut masuk dalam struktur kepengurusan Saracen bersama dengan Mayjen Ampi Tanudjiwa. Dalam struktur tersebut, Eggi ditulis sebagai anggota dewan penasehat, sementara Mayjen Ampi sebagai ketua dewan penasihat.","Eggi Sudjana akhirnya mendatangi kantor Bareskrim Polri, Jakarta, Senin (18 / 9), untuk memberikan klarifikasi terkait pencatutan namanya di struktur organisasi Saracen. Eggi juga menyebutkan, ia sama sekali tidak mengenal atau terlibat dalam sindikat penyebar berita palsu tersebut. Eggi mengaku tidak akan datang jika kembali dipanggil menjadi saksi. Menurutnya, ia tidak bisa memenuhi panggilan sebagai saksi karena tidak memiliki hubungan dengan Saracen."," setelah melaksanakan ibadah haji, eggi sudjana akhirnya mendatangi kantor bareskrim polri, jakarta, senin (18 / 9), untuk memberikan klarifikasi terkait pencatutan namanya di struktur organisasi saracen. eggi juga menyebutkan, ia sama sekali tidak mengenal atau terlibat dalam sindikat penyebar berita palsu tersebut. "" saya nyatakan dengan jelas, pakai bahasa islam lebih meyakinkan, dengan sumpah demi allah masih haji nih, insyaa"
4,"Banyak cara untuk memberikan pengajaran kepada anak, termasuk melalui cara yang atraktif dan kreatif. Seperti yang coba diusung dalam game permainan Kartu Muslim. Menggunakan basis teknologi Augmented Reality (AR), permainan kartu tersebut memberikan pengajaran agama kepada anak-anak. Penggunaannya cukup sederhana, kartu berhologram khusus dipasarkan dalam satu set produk, misalnya dalam seri belajar Wudhu. Untuk menyajikan konten unik di dalamnya, kartu tersebut dapat disorot menggunakan kamera dan aplikasi khusus di ponsel Android. Pada awalnya Kartu Muslim adalah sebuah karya kolaborasi antara Touchten dan Ustad Wijayanto. Saat ini Kartu Pintar masih terus dilanjutkan pengembangan bisnisnya, salah satunya oleh Nilwafa Praduta, Co - Founder Kartu Muslim sekaligus Art Director di Touchten Games. Beberapa rekannya di Touchten juga masih tetap membantu pengembangannya. “ Ide awalnya dari kebutuhan pribadi saya untuk mengajarkan anak tentang agama Islam, sebagai orang tua baru saya berpikir bagaimana bisa menyajikannya agar anak cepat tangkap dan mengerti tanpa ada pemaksaan, karena jika anak dipaksa belajar takut dia akan malah menjauh. Alhamdulillah Touchten sangat mendukung ide itu dan sebagian talent yang mengerjakan kartu muslim adalah dari dalam Touchten sendiri, ” ujar Nilwafa. Kartu Muslim dikembangkan dalam tiga bagian utama, yakni konten, fisik kartu, dan aplikasi. Untuk pengerjaan konten, tim pengembang masih bekerja sama dengan Ustad Wijayanto, dan direpresentasikan dalam animasi dan kartu oleh artist dan graphic desainer Kartu Muslim. Untuk aplikasinya sendiri dibuat oleh pengembang menggunakan teknologi AR dan program Unity yang biasa dipakai untuk pembuatan mobile games pada umumnya. “ Kami rasa aplikasi AR di masa depan akan terintegrasi dengan baik dan natural pada kehidupan sehari-hari, AR dapat membantu memberikan added value atau informasi tambahan pada masyarakat dan akan semakin banyak produk yang memakainya, ” lanjut Nilwafa. Terkait pengembangan produk Kartu Muslim, Nilwafa turut menerangkan ke depannya akan ada terus dikembangkan tema lain. Pihaknya juga mengaku tidak menutup diri akan inovasi selain bentuk kartu, karena akan selalu menyesuaikan dengan kebutuhan masyarakat, terutama orang tua yang ingin mengajarkan anaknya. “ Kami sangat gembira atas sambutan masyarakat Indonesia yang sangat baik atas produk kami selama ini, dan kami ingin terus menyajikan produk yang lebih baik dan lebih menarik lagi, kami berharap Kartu Muslim dapat terus diterima dengan baik dan dapat menjadi bentuk kontribusi dan media dakwah kami terhadap generasi penerus bangsa ini, ” pungkas Nilwafa. DailySocial.id adalah portal berita startup dan inovasi teknologi. Kamu bisa menjadi member komunitas startup dan inovasi DailySocial.id, mengunduh laporan riset dan statistik seputar teknologi secara cuma-cuma, dan mengikuti berita startup Indonesia dan gadget terbaru.","Game permainan Kartu Muslim. Menggunakan basis teknologi Augmented Reality (AR), permainan kartu tersebut memberikan pengajaran agama kepada anak-anak. Penggunaannya cukup sederhana, kartu berhologram khusus dipasarkan dalam satu set produk, misalnya dalam seri belajar Wudhu. Untuk menyajikan konten unik di dalamnya, kartu tersebut dapat disorot menggunakan kamera dan aplikasi khusus di ponsel Android."," terdapat cara untuk memberikan pengajaran kepada anak, termasuk melalui cara yang atraktif dan kreatif. seperti yang coba diusung dalam game permainan kartu muslim. menggunakan basis teknologi augmented reality (ar), permainan kartu tersebut memberikan pengajaran agama kepada anak-anak. kartu berhologram khusus dipasarkan dalam satu set produk, misalnya dalam seri belajar wudhu. untuk menyajikan konten unik di dalamnya, kartu tersebut dapat disorot menggunakan kamera dan"
5,"Jakarta, CNN Indonesia - - Sebuah lagu misterius mendadak muncul di iTunes akhir pekan lalu. Lagu itu berjudul Behind Me, disebut sebagai karya dari seorang artis tak terkenal bernama Guido Dos Santos. Lagu itu diperkenalkan ke iTunes tanpa keterangan apa pun, lalu dihapus. Namun Gay Times melaporkan, lagu itu sempat membuat tertarik banyak orang. Bahkan ia masuk daftar 50 besar lagu laris didengar di delapan negara, meski tak disebutkan mana saja. Mengutip Independent, lagu itu dipercaya merupakan versi demo dari karya Madonna yang berjudul Two Steps Behind Me. Itu merupakan demo yang direkam Madonna pada 2015 untuk album Rebel Heart. Saat itu Two Steps Behind Me disebut berkaitan dengan Lady Gaga. Namun manajer Madonna, Guy Oseary menolak gagasan itu. “ Lagu itu bukan tentang Gaga atau siapa pun, ” tulisnya di Twitter pada 2014. Oseary maupun Madonna tidak berkata apa-apa tentang lagu pendek Behind Me yang baru muncul di iTunes. Alih - alih, ia justru merespons perbincangan soal biopiknya, Blond Ambition. Ia tidak merestui film yang dibikin tanpa persetujuannya itu. Madonna menulis, “ Tidak seorang pun tahu apa yang saya ketahui dan yang saya lihat. Hanya saya yang bisa mengisahkan cerita hidup saya. Orang lain yang mencobanya hanya terlihat mencari keuntungan dan bodoh, mencari gratifikasi tanpa bekerja apa-apa, ” tulisnya. Tidak ada pemberitaan lebih lanjut bagaimana akhirnya nasib film itu.","Sebuah lagu misterius mendadak muncul di iTunes akhir pekan lalu. Lagu itu berjudul   Behind Me,   disebut sebagai karya dari seorang artis tak terkenal bernama Guido Dos Santos. Lagu itu diperkenalkan ke iTunes tanpa keterangan apa pun, lalu dihapus. Gay Times melaporkan, lagu itu sempat membuat tertarik banyak orang. Bahkan ia masuk daftar 50 besar lagu laris."," sebuah lagu misterius mendadak muncul di itunes akhir pekan lalu. lagu itu berjudul behind me, disebut sebagai karya dari seorang artis tak terkenal bernama guido dos santos . lagu itu diperkenalkan ke itunes tanpa keterangan apa pun, lalu dihapus. namun gay times melaporkan, lagu itu sempat membuat tertarik banyak orang. bahkan ia masuk daftar 50 besar lagu laris didengar di delapan negara, meski tak disebutkan mana saja. lagu"
6,"Kementerian Sosial sudah menetapkan waktu permintaan klasifikasi pemilik akun Instagram @cakbudi_. Permintaan penjelasan atas tudingan penyelewengan dana dari donatur akan berlangsung di Jakarta. "" Lusa (Kamis - red) akan kami panggil Cak Budi ini ke Jakarta untuk memberikan klarifikasi mengenai mekanisme penggalangan donasi, "" kata Direktur Jenderal Pemberdayaan Sosial, Hartono Laras, berdasarkan keterangan resmi yang diterima, Selasa (2 / 5). Sedangkan Menteri Sosial Khofifah Indar Parawansa meminta pengumpul sumbangan dari masyarakat untuk menjaga amanah. Terlebih uang tersebut dititipkan untuk disalurkan kepada orang miskin. "" Tolong jaga kepercayaan para donatur, jangan sampai aksi kepedulian sosial ini dinodai oleh nafsu - nafsu pribadi. Ini amanah, "" sebut Khofifah. Baca juga: Belajar dari Kasus Cak Budi, Membedah Aturan Soal Penggalangan Dana Dugaan adanya penyelewengan dana sumbangan oleh pemilik akun @cakbudi _, dianggap Khofifah wajar. Pasalnya, ada sejumlah uang yang hasil pengumpulan dari masyarakat, malah dibelikan sesuatu selain sumbangan oleh laki-laki berkepala plontos itu. "" Apapun alasannya, karena yang menyumbang tidak mengetahui jika uang yang disumbangkannya digunakan untuk membeli selain yang diniatkan diawal, "" tuturnya. Khofifah mengatakan, jika memang apa yang disangkakan kepada Cak Budi itu benar, maka dalam hal ini yang dirugikan adalah para donatur. Namun demikian, Khofifah tetap meminta masyarakat untuk tetap positif thinking jika ada penggalangan dana atas nama pribadi, selama tujuan donasi jelas dan pemanfaatan dana tersebut transparan dan akuntabel. Kepada pengelola dana, Khofifah meminta untuk berhati-hati, tidak sembarang dalam menggunakan dan penyalurannya. Terlebih jika dimaksudkan untuk memenuhi kepentigan pribadi. Baca juga: Donasi Cak Budi yang Mengundang Prasangka","Kementerian Sosial sudah menetapkan waktu permintaan klasifikasi pemilik akun Instagram @cakbudi_. Permintaan penjelasan atas tudingan penyelewengan dana dari donatur akan berlangsung di Jakarta. Direktur Jenderal Pemberdayaan Sosial, Hartono Laras, mengatakan lusa (Kamis - red) Cak Budi kami panggil   ke Jakarta untuk memberikan klarifikasi mengenai mekanisme penggalangan donasi. Sedangkan Menteri Sosial Khofifah Indar Parawansa meminta pengumpul sumbangan dari masyarakat untuk menjaga amanah."," kementerian sosial sudah menetapkan waktu permintaan klasifikasi pemilik akun instagram @cakbudi_. permintaan penjelasan atas tudingan penyelewengan dana dari donatur akan berlangsung di jakarta. sedangkan menteri sosial khofifah indar parawansa meminta pengumpul sumbangan dari masyarakat untuk menjaga amanah. terlebih uang tersebut dititipkan untuk disalurkan kepada orang miskin. jika memang apa yang disangkakan kepada cak budi itu benar, maka dalam hal ini yang dirugikan adalah para"
7,"Jakarta, CNN Indonesia - - Menteri Koordinator Bidang Perekonomian Darmin Nasution memastikan, barang tak berwujud (intangible goods) yang diperdagangkan secara elektronik dari luar negeri akan dikenakan bea masuk. Walaupun, saat ini, Indonesia masih terikat moratorium World Trade Organization (WTO). Dalam moratorium WTO tersebut, negara-negara berkembang disebutkan tidak boleh mengenakan bea masuk atas barang tak berwujud yang dilego secara elektronik. Menurut dia, pemerintah tidak perlu meminta izin ataupun melobi WTO untuk memungut bea masuk tersebut, karena moratorium akan berakhir pada 31 Desember 2017 nanti. "" Begitu Januari, itu boleh. Nggak perlu lobi dulu, itu akan berlaku sebagaimana itu berlaku, "" ujarnya usai menjadi pembicara kunci dalam Seminar Outlook Industri 2018 di Jakarta, mengutip ANTARA, Senin (11 / 12). Sebelumnya, Menteri Keuangan Sri Mulyani menyatakan bea masuk untuk barang tak berwujud diharapkan bisa dilakukan pada tahun depan. Adapun contoh barang tak berwujud tersebut, yaitu buku elektronik (e - book), piranti lunak, dan barang lainnya yang tak memiliki wujud. Kementerian Keuangan masih terus mengkaji rencana pengenaan bea masuk terhadap barang tak berwujud tersebut. Salah satunya terkait tata kelola pengenaan pungutan terhadap intangible goods yang hingga kini belum ditetapkan oleh World Customs Organisation (WCO). Di tengah makin berkembangnya perdagangan elektronik (e - commerce), pengenaan bea masuk terhadap intangible goods sendiri berpotensi menghasilkan penerimaan negara. Pada tahun ini, negara-negara maju termasuk Indonesia mengajukan permintaan kepada WTO agar bea masuk terhadap barang tak berwujud bisa dikenakan pada tahun depan. Moratorium WTO pertama kali dicanangkan pada 20 Mei 1998 silam dalam Second Ministerial Conference di Jenewa, Swiss. Konferensi serupa kembali dijadwalkan berlangsung pada 10 - 13 Desember 2017 di Argentina. (bir)","Menteri Koordinator Bidang Perekonomian Darmin Nasution memastikan, barang tak berwujud (intangible goods) yang diperdagangkan secara elektronik dari luar negeri akan dikenakan bea masuk. Adapun contoh barang tak berwujud tersebut, yaitu buku elektronik (e - book), piranti lunak, dan barang lainnya yang tak memiliki wujud. Kementerian Keuangan masih terus mengkaji rencana pengenaan bea masuk terhadap barang tak berwujud tersebut."," menteri koordinator bidang perekonomian darmin nasution memastikan, barang tak berwujud yang diperdagangkan secara elektronik dari luar negeri akan dikenakan bea masuk. walaupun, saat ini, indonesia masih terikat moratorium world trade organization (wto). dalam moratorium wto tersebut, negara-negara berkembang disebutkan tidak boleh mengenakan bea masuk atas barang tidak berwujud yang dilego secara elektronik. pemerintah tidak perlu meminta izin ataupun melobi wto untuk memungut"
8,"Jakarta, CNN Indonesia - - Layanan Keamanan Federal Rusia (FSB) menahan 10 orang asal Asia Tengah yang terkait dengan ISIS, atas tudingan berencana melancarkan serangan di Moskow dan St. Petersburg. Dilaporkan oleh kantor berita Rusia pada Sabtu (12 / 11), FSB menyatakan bahwa 10 orang tersebut ditangkap dengan bantuan dari Tajikistan dan Kyrgyzstan. Mereka berencana menyerang dengan senjata otomatis dan bom rakitan di tempat publik Moskow dan St. Petersburg. Tahun lalu, Rusia melancarkan serangan terhadap ISIS dan kelompok teroris lain di Suriah untuk membantu Presiden Suriah Bashar al - Assad. Ribuan warga Rusia sendiri sudah bergabung dengan kelompok anti - Assad di Suriah, menurut Perdana Menteri Rusia Dmitry Medvedev pada awal November. Lembah Ferghana, wilayah subur dan padat penduduk di Uzbekistan, Tajikistan dan Kyrgyzstan, selama ini dianggap sebagai pusat dari militansi di Asia Tengah. Tajikistan juga berbatasan dengan Afghanistan, juga disebut sebagai penyalur militan yang bertempur di medan perang di Timur Tengah. (stu)","Layanan Keamanan Federal Rusia (FSB) menyatakan bahwa 10 orang tersebut ditangkap dengan bantuan dari Tajikistan dan Kyrgyzstan. Mereka berencana menyerang dengan senjata otomatis dan bom rakitan di tempat publik Moskow dan St. Petersburg. Ribuan warga Rusia sendiri sudah bergabung dengan kelompok anti - Assad di Suriah, menurut Perdana Menteri Rusia Dmitry Medvedev pada awal November."," layanan keamanan federal rusia (fsb) menahan 10 orang asal asia tengah yang terkait dengan isis, atas tudingan berencana melancarkan serangan di moskow dan st. petersburg. dilaporkan oleh kantor berita rusia pada sabtu (12 / 11), fsb menyatakan bahwa 10 orang tersebut ditangkap dengan bantuan dari tajikistan dan kyrgyzstan. mereka berencana menyerang dengan senjata otomatis dan bom rakitan di tempat publik moskow dan"
9,"Mempunyai penggemar banyak, menjadi hal yang dapat memotivasi bagi setiap selebriti dunia. Tidak sedikit, penggemar dan selebriti memiliki kedekatan yang lebih dari antara seorang penggemar dan idola. Memang, tidak dapat dipungkiri keberadaan penggemar menjadi salah satu bukti keberhasilan yang diraih oleh selebriti itu sendiri. Untuk itu, bukan hal aneh ketika banyak selebriti yang memberikan timbal balik kepada para penggemar setianya tersebut. Mungkin sebagian selebriti mengapresiasi penggemarnya dengan cara yang beramacam - macam. Dari mulai memberi merchandise, barang kesukaannya, sampai makan malam bersama penggemarnya secara langsung. Tapi tidak bagi Taylor Swift. Penyanyi asal Amerika Serikat tersebut dikabarkan pernah memberikan rumah dan perlengkapan bayi kepada salah satu penggemarnya. Hal ini dilihat dari unggahan Stephanie, salah seorang penggemar dari pelantun lagu ‘ Red’ ini. Stephanie menyebutkan bahwa Swift telah mengubah hidupnya. Stephanie dibelikan rumah serta perlengkapan bayi setelah ia menjadi gelandangan karena suaminya yang dipecat. Saat itu, Stephanie juga sedang mengandung 8 bulan. “ Banyak dari kalian yang tidak tahu bahwa selama 8 bulan kehamilan, saya menjadi gelandangan. Singkat cerita, penderitaan pertama kita yaitu mengenai kesehatan, kemudian keamanan, dan kita kehilangan semuanya. Yang bikin makin stres, saat itu Matthew kehilangan pekerjaannya, ” ucap Stephanie yang dilansir dari Aceshowbiz. Terkenal dengan kemurahan hatinya, perempuan berusia 28 tahun ini memberikan timbal balik bagi penggemar setianya. Hal ini merupakan sesuatu yang tidak akan pernah dilupakan. Ini bermula ketika Ibunda Stephani memberi tahu Swift mengenai kesulitan anaknya. Saat itu, sang ibu datang pada konser' 1989 World Tour Taylor Swift' di Manchester beberapa waktu lalu, dan Ibunda Stephanie meminta kepada Swift untuk membuat Stephanie merasa spesial pada malam itu. "" Malam itu ia menjulurkan tangannya padaku dan ngangkat aku, ” ungkap Stephanie sembari terharu atas kebaikan yang dilakukan mantan kekasih John Mayer tersebut. Stephanie juga membagikan foto dirinya dengan Swift ketika di belakang panggung saat konser. Di foto yang lainnya Stephanie juga terlihat sedang menggendong dan memberi makan bayinya yang baru lahir. Sering memenangkan beberapa penghargaan dari berbagai macam ajang bergengsi, lantas tidak membuat perempuan yang mempunyai nama asli Taylor Alison Swift itu, melupakan orang-orang yang telah mendukungnya selama ini. Memulai karier sejak tahun 2004 bukan sesuatu yang mudah untuk mempertahankan eksistensinya hingga sekarang. Berkat keberadaan penggemar sampai sekarang lah, yang akhirnya membuat karier Swift tetap bertahan di industri musik.","Taylor Swift dikabarkan pernah memberikan rumah dan perlengkapan bayi kepada salah satu penggemarnya. Hal ini dilihat dari unggahan Stephanie, salah seorang penggemar dari pelantun lagu ‘ Red’ ini. Stephanie menyebutkan bahwa Swift telah mengubah hidupnya. Stephanie dibelikan rumah serta perlengkapan bayi setelah ia menjadi gelandangan karena suaminya yang dipecat. Saat itu, Stephanie juga sedang mengandung 8 bulan."," penggemar banyak, menjadi hal yang dapat memotivasi bagi setiap selebriti dunia. tidak sedikit, penggemar dan selebriti memiliki kedekatan yang lebih dari antara seorang penggemar dan idola. untuk itu, bukan hal aneh ketika banyak selebriti yang memberikan timbal balik kepada para penggemar setianya tersebut. mungkin sebagian selebriti mengapresiasi penggemarnya dengan cara yang beramacam - macam. dari mulai memberi merchandise, barang kesukaannya, sampai makan malam bersama penggemarnya secara langsung"
